routingAlgorithm,bufferSize,dropPolicy,forwardingStrategy,bufferSize_numeric,dropPolicy_numeric,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,rtt_avg,rtt_med
ProphetMulti,100M,FIFO,COIN,100,FIFO,100000.0,3356.0,118564.0,118507.0,56.0,0.0,0.0,3092.0,0.9213,0.0,37.327,6840.9563,6270.0,2.7704,3.0,,,,
ProphetMulti,100M,LEPR,COIN,100,LEPR,100000.0,3356.0,118667.0,118610.0,56.0,0.0,0.0,3096.0,0.9225,0.0,37.3107,6884.0465,6299.0,2.7943,3.0,,,,
ProphetMulti,100M,MOFO,COIN,100,MOFO,100000.0,3356.0,118611.0,118553.0,57.0,0.0,0.0,3103.0,0.9246,0.0,37.2059,6970.147,6300.0,2.7618,3.0,,,,
ProphetMulti,100M,MOPR,COIN,100,MOPR,100000.0,3356.0,118809.0,118754.0,54.0,0.0,0.0,3109.0,0.9264,0.0,37.1968,6831.6169,6205.0,2.772,3.0,,,,
ProphetMulti,100M,SHLI,COIN,100,SHLI,100000.0,3356.0,118696.0,118636.0,59.0,0.0,0.0,3093.0,0.9216,0.0,37.3563,6864.312,6193.0,2.7876,3.0,,,,
ProphetMulti,10M,FIFO,COIN,10,FIFO,100000.0,3356.0,126738.0,126679.0,58.0,46480.0,0.0,2865.0,0.8537,0.0,43.2161,7456.9941,6364.0,2.6447,2.0,56540.3976,59679.0,,
ProphetMulti,10M,LEPR,COIN,10,LEPR,100000.0,3356.0,127324.0,127263.0,60.0,46863.0,0.0,2807.0,0.8364,0.0,44.3377,7319.8636,6275.0,2.6352,2.0,25336.5916,16616.0,,
ProphetMulti,10M,MOFO,COIN,10,MOFO,100000.0,3356.0,127917.0,127858.0,58.0,47725.0,0.0,2894.0,0.8623,0.0,43.1804,7192.3359,6402.0,2.7177,2.0,19577.3868,3384.0,,
ProphetMulti,10M,MOPR,COIN,10,MOPR,100000.0,3356.0,126515.0,126453.0,61.0,45164.0,0.0,2876.0,0.857,0.0,42.9684,7339.5181,6375.0,2.6874,2.0,23376.1859,13303.0,,
ProphetMulti,10M,SHLI,COIN,10,SHLI,100000.0,3356.0,126566.0,126509.0,56.0,44896.0,0.0,2976.0,0.8868,0.0,41.5097,7419.8296,6420.0,2.6566,2.0,39471.5001,62439.0,,
