routingAlgorithm,bufferSize,dropPolicy,forwardingStrategy,bufferSize_numeric,dropPolicy_numeric,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,rtt_avg,rtt_med
ProphetMulti,100M,FIFO,GRTR,100,FIFO,100000.0,3356.0,103402.0,103356.0,45.0,0.0,0.0,3008.0,0.8963,0.0,33.3604,8632.3996,7881.0,2.2733,2.0,,,,
ProphetMulti,100M,LEPR,GRTR,100,LEPR,100000.0,3356.0,103332.0,103288.0,43.0,0.0,0.0,2991.0,0.8912,0.0,33.5329,8630.3531,7879.0,2.2865,2.0,,,,
ProphetMulti,100M,MOFO,GRTR,100,MOFO,100000.0,3356.0,103563.0,103516.0,46.0,0.0,0.0,3003.0,0.8948,0.0,33.4709,8624.359,7878.0,2.2837,2.0,,,,
ProphetMulti,100M,MOPR,GRTR,100,MOPR,100000.0,3356.0,103451.0,103404.0,46.0,0.0,0.0,3009.0,0.8966,0.0,33.3649,8671.6035,7891.0,2.2898,2.0,,,,
ProphetMulti,100M,SHLI,GRTR,100,SHLI,100000.0,3356.0,103394.0,103349.0,44.0,0.0,0.0,2999.0,0.8936,0.0,33.4612,8620.103,7855.0,2.2781,2.0,,,,
ProphetMulti,10M,FIFO,GRTR,10,FIFO,100000.0,3356.0,110007.0,109958.0,48.0,29409.0,0.0,2899.0,0.8638,0.0,36.9296,8648.1069,7761.0,2.2442,2.0,60816.0918,64344.0,,
ProphetMulti,10M,LEPR,GRTR,10,LEPR,100000.0,3356.0,112393.0,112343.0,49.0,32007.0,0.0,2838.0,0.8456,0.0,38.5853,8640.3273,7700.0,2.2456,2.0,18091.0761,0.0,,
ProphetMulti,10M,MOFO,GRTR,10,MOFO,100000.0,3356.0,113023.0,112972.0,50.0,32939.0,0.0,2795.0,0.8328,0.0,39.4193,8782.7875,7748.0,2.1986,2.0,3666.1966,0.0,,
ProphetMulti,10M,MOPR,GRTR,10,MOPR,100000.0,3356.0,109943.0,109896.0,46.0,28648.0,0.0,2846.0,0.848,0.0,37.6142,8738.5654,7750.0,2.2217,2.0,12981.6008,0.0,,
ProphetMulti,10M,SHLI,GRTR,10,SHLI,100000.0,3356.0,108591.0,108544.0,46.0,27038.0,0.0,2867.0,0.8543,0.0,36.8598,8705.6564,7740.0,2.2281,2.0,24889.637,0.0,,
ProphetMulti,110M,FIFO,GRTR,110,FIFO,100000.0,3356.0,103522.0,103478.0,43.0,0.0,0.0,3001.0,0.8942,0.0,33.4812,8568.9127,7793.0,2.2952,2.0,,,,
