routingAlgorithm,bufferSize,dropPolicy,forwardingStrategy,bufferSize_numeric,dropPolicy_numeric,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,rtt_avg,rtt_med
ProphetMulti,100M,FIFO,COIN,100,FIFO,100000.0,3356.0,70013.0,69000.0,1012.0,62277.0,0.0,2075.0,0.6183,0.0,32.253,9703.6467,7724.0,2.2689,2.0,10326.1107,9861.0,,
ProphetMulti,100M,LEPR,COIN,100,LEPR,100000.0,3356.0,70298.0,69269.0,1028.0,63227.0,0.0,1352.0,0.4029,0.0,50.2345,8923.5355,6557.0,2.0067,2.0,8883.1449,3080.0,,
ProphetMulti,100M,MOFO,COIN,100,MOFO,100000.0,3356.0,67893.0,66904.0,988.0,61174.0,0.0,894.0,0.2664,0.0,73.8367,6723.3893,5716.0,2.5593,2.0,6261.0419,4.0,,
ProphetMulti,100M,MOPR,COIN,100,MOPR,100000.0,3356.0,66622.0,65666.0,955.0,59988.0,0.0,919.0,0.2738,0.0,70.4538,6833.6246,5912.0,2.4918,2.0,5727.262,0.0,,
ProphetMulti,100M,SHLI,COIN,100,SHLI,100000.0,3356.0,72653.0,71594.0,1058.0,64021.0,0.0,2740.0,0.8164,0.0,25.1292,11008.0069,9810.0,2.0442,2.0,10120.3805,8470.0,,
ProphetMulti,10M,FIFO,COIN,10,FIFO,100000.0,3356.0,46837.0,46201.0,636.0,47890.0,0.0,849.0,0.253,0.0,53.4181,5066.4523,3751.0,4.6148,4.0,1490.1114,976.0,,
ProphetMulti,10M,LEPR,COIN,10,LEPR,100000.0,3356.0,66713.0,65751.0,961.0,67843.0,0.0,452.0,0.1347,0.0,144.4668,4876.5265,3838.0,2.0199,2.0,973.5058,0.0,,
ProphetMulti,10M,MOFO,COIN,10,MOFO,100000.0,3356.0,40857.0,40343.0,514.0,42711.0,0.0,170.0,0.0507,0.0,236.3118,3375.7118,2803.0,2.7235,2.0,1359.3665,26.0,,
ProphetMulti,10M,MOPR,COIN,10,MOPR,100000.0,3356.0,32190.0,31755.0,435.0,34148.0,0.0,152.0,0.0453,0.0,207.9145,2778.6447,2059.0,2.0461,2.0,877.9723,0.0,,
ProphetMulti,10M,SHLI,COIN,10,SHLI,100000.0,3356.0,66173.0,65199.0,973.0,66356.0,0.0,1388.0,0.4136,0.0,45.9733,3571.562,3303.0,2.183,2.0,1134.1205,0.0,,
ProphetMulti,110M,FIFO,COIN,110,FIFO,100000.0,3356.0,69944.0,68914.0,1029.0,61343.0,0.0,2076.0,0.6186,0.0,32.1956,9874.1026,7915.0,2.1811,2.0,11383.3187,10749.0,,
ProphetMulti,110M,LEPR,COIN,110,LEPR,100000.0,3356.0,70226.0,69199.0,1026.0,62338.0,0.0,1436.0,0.4279,0.0,47.1887,8924.2597,6625.0,1.9965,2.0,9694.3927,3780.0,,
ProphetMulti,110M,MOFO,COIN,110,MOFO,100000.0,3356.0,67891.0,66893.0,997.0,60258.0,0.0,976.0,0.2908,0.0,67.5379,7059.168,6058.0,2.501,2.0,7088.6621,6.0,,
ProphetMulti,110M,MOPR,COIN,110,MOPR,100000.0,3356.0,66904.0,65917.0,986.0,59340.0,0.0,998.0,0.2974,0.0,65.0491,7286.9629,6082.0,2.4699,2.0,6534.9178,0.0,,
ProphetMulti,110M,SHLI,COIN,110,SHLI,100000.0,3356.0,72667.0,71610.0,1056.0,63204.0,0.0,2753.0,0.8203,0.0,25.0116,11196.5663,9801.0,2.0236,2.0,11007.1001,9410.0,,
ProphetMulti,120M,FIFO,COIN,120,FIFO,100000.0,3356.0,70323.0,69301.0,1021.0,60876.0,0.0,2170.0,0.6466,0.0,30.9359,10149.4968,7833.0,2.1576,2.0,12334.5036,11781.0,,
ProphetMulti,120M,LEPR,COIN,120,LEPR,100000.0,3356.0,70458.0,69412.0,1045.0,61674.0,0.0,1498.0,0.4464,0.0,45.3364,9203.3798,6861.0,2.0214,2.0,10473.8584,4581.0,,
ProphetMulti,120M,MOFO,COIN,120,MOFO,100000.0,3356.0,68873.0,67867.0,1005.0,60353.0,0.0,1037.0,0.309,0.0,64.4455,7348.5931,6270.0,2.5603,2.0,7793.441,4.0,,
ProphetMulti,120M,MOPR,COIN,120,MOPR,100000.0,3356.0,67396.0,66397.0,999.0,58929.0,0.0,1069.0,0.3185,0.0,61.1113,7486.145,6363.0,2.4088,2.0,7135.6963,0.0,,
ProphetMulti,120M,SHLI,COIN,120,SHLI,100000.0,3356.0,72307.0,71264.0,1042.0,62038.0,0.0,2750.0,0.8194,0.0,24.9142,11537.3167,9829.0,1.9836,2.0,11982.736,10388.0,,
ProphetMulti,130M,FIFO,COIN,130,FIFO,100000.0,3356.0,70183.0,69169.0,1013.0,59938.0,0.0,2183.0,0.6505,0.0,30.6853,10150.2749,8138.0,2.0934,2.0,13455.8602,12972.0,,
ProphetMulti,130M,LEPR,COIN,130,LEPR,100000.0,3356.0,70528.0,69508.0,1019.0,60917.0,0.0,1528.0,0.4553,0.0,44.4895,9260.2736,7030.0,1.9895,2.0,11076.1533,4979.0,,
ProphetMulti,130M,MOFO,COIN,130,MOFO,100000.0,3356.0,69555.0,68550.0,1004.0,60157.0,0.0,1095.0,0.3263,0.0,61.6027,7589.0749,6619.0,2.5169,2.0,8178.2225,8.0,,
ProphetMulti,130M,MOPR,COIN,130,MOPR,100000.0,3356.0,68501.0,67506.0,994.0,59165.0,0.0,1127.0,0.3358,0.0,58.8988,7655.8083,6438.0,2.441,2.0,7747.7506,0.0,,
ProphetMulti,130M,SHLI,COIN,130,SHLI,100000.0,3356.0,72222.0,71171.0,1050.0,61128.0,0.0,2752.0,0.82,0.0,24.8616,11811.4433,9972.0,1.9869,2.0,12841.6445,11436.0,,
ProphetMulti,140M,FIFO,COIN,140,FIFO,100000.0,3356.0,70462.0,69447.0,1014.0,59360.0,0.0,2220.0,0.6615,0.0,30.2824,10426.2667,8237.0,2.0351,2.0,14428.493,13755.0,,
ProphetMulti,140M,LEPR,COIN,140,LEPR,100000.0,3356.0,70468.0,69443.0,1024.0,60002.0,0.0,1626.0,0.4845,0.0,41.7079,9530.6076,7324.0,1.9717,2.0,11967.147,5774.0,,
ProphetMulti,140M,MOFO,COIN,140,MOFO,100000.0,3356.0,70363.0,69334.0,1028.0,60056.0,0.0,1161.0,0.3459,0.0,58.7192,7931.9845,6853.0,2.4384,2.0,8557.4092,12.0,,
ProphetMulti,140M,MOPR,COIN,140,MOPR,100000.0,3356.0,70136.0,69102.0,1033.0,59937.0,0.0,1165.0,0.3471,0.0,58.315,7833.2549,6721.0,2.4378,2.0,8372.7922,0.0,,
ProphetMulti,140M,SHLI,COIN,140,SHLI,100000.0,3356.0,72250.0,71184.0,1065.0,60328.0,0.0,2746.0,0.8182,0.0,24.9228,11884.315,9879.0,1.9811,2.0,13738.6679,12490.0,,
ProphetMulti,150M,FIFO,COIN,150,FIFO,100000.0,3356.0,70401.0,69376.0,1024.0,58456.0,0.0,2293.0,0.6833,0.0,29.2556,10552.6132,8541.0,2.0183,2.0,15366.9232,15113.0,,
ProphetMulti,150M,LEPR,COIN,150,LEPR,100000.0,3356.0,70580.0,69549.0,1030.0,59304.0,0.0,1646.0,0.4905,0.0,41.2533,9559.0553,7301.0,1.9526,2.0,12680.44,6081.0,,
ProphetMulti,150M,MOFO,COIN,150,MOFO,100000.0,3356.0,70680.0,69639.0,1040.0,59494.0,0.0,1205.0,0.3591,0.0,56.7917,8252.917,7174.0,2.4415,2.0,9252.3635,20.0,,
ProphetMulti,150M,MOPR,COIN,150,MOPR,100000.0,3356.0,70633.0,69625.0,1007.0,59577.0,0.0,1232.0,0.3671,0.0,55.5138,8138.194,6721.0,2.3515,2.0,9248.4067,0.0,,
ProphetMulti,150M,SHLI,COIN,150,SHLI,100000.0,3356.0,72266.0,71220.0,1045.0,59552.0,0.0,2732.0,0.8141,0.0,25.0688,12023.0051,9885.0,1.9294,2.0,14606.7268,13693.0,,
ProphetMulti,160M,FIFO,COIN,160,FIFO,100000.0,3356.0,70508.0,69500.0,1007.0,57727.0,0.0,2330.0,0.6943,0.0,28.8283,11075.1991,8971.0,2.0206,2.0,16507.1904,16229.0,,
ProphetMulti,160M,LEPR,COIN,160,LEPR,100000.0,3356.0,70835.0,69800.0,1034.0,58727.0,0.0,1645.0,0.4902,0.0,41.4316,9651.1198,7310.0,1.9763,2.0,13302.2046,6848.0,,
ProphetMulti,160M,MOFO,COIN,160,MOFO,100000.0,3356.0,71219.0,70173.0,1045.0,59131.0,0.0,1284.0,0.3826,0.0,53.6519,8460.1207,7203.0,2.3863,2.0,9938.626,27.0,,
ProphetMulti,160M,MOPR,COIN,160,MOPR,100000.0,3356.0,70692.0,69662.0,1029.0,58763.0,0.0,1302.0,0.388,0.0,52.5038,8303.1436,6976.0,2.3925,2.0,10012.9642,1.0,,
ProphetMulti,160M,SHLI,COIN,160,SHLI,100000.0,3356.0,72270.0,71237.0,1032.0,58742.0,0.0,2744.0,0.8176,0.0,24.961,12174.4275,10127.0,1.9887,2.0,15533.7677,14708.0,,
ProphetMulti,170M,FIFO,COIN,170,FIFO,100000.0,3356.0,70586.0,69567.0,1018.0,57009.0,0.0,2336.0,0.6961,0.0,28.7804,11014.5342,9011.0,1.9961,2.0,17390.3726,17019.0,,
ProphetMulti,170M,LEPR,COIN,170,LEPR,100000.0,3356.0,70882.0,69845.0,1036.0,57851.0,0.0,1737.0,0.5176,0.0,39.2101,9843.5216,7556.0,1.9764,2.0,13986.7547,7420.0,,
ProphetMulti,170M,MOFO,COIN,170,MOFO,100000.0,3356.0,71053.0,70020.0,1032.0,58122.0,0.0,1321.0,0.3936,0.0,52.0053,8495.078,7337.0,2.4042,2.0,10791.7815,153.0,,
ProphetMulti,170M,MOPR,COIN,170,MOPR,100000.0,3356.0,71096.0,70067.0,1028.0,58297.0,0.0,1353.0,0.4032,0.0,50.7864,8470.7398,7172.0,2.2735,2.0,10826.5418,8.0,,
ProphetMulti,170M,SHLI,COIN,170,SHLI,100000.0,3356.0,72227.0,71159.0,1067.0,57852.0,0.0,2737.0,0.8156,0.0,24.9989,12347.9481,10273.0,1.9467,2.0,16404.828,15950.0,,
ProphetMulti,180M,FIFO,COIN,180,FIFO,100000.0,3356.0,70884.0,69862.0,1021.0,56424.0,0.0,2373.0,0.7071,0.0,28.4404,11221.2916,8928.0,1.9912,2.0,18396.9548,18308.0,,
ProphetMulti,180M,LEPR,COIN,180,LEPR,100000.0,3356.0,70863.0,69818.0,1044.0,57033.0,0.0,1778.0,0.5298,0.0,38.2677,9923.3594,7596.0,1.9359,2.0,14766.997,8082.0,,
ProphetMulti,180M,MOFO,COIN,180,MOFO,100000.0,3356.0,71486.0,70440.0,1046.0,57639.0,0.0,1404.0,0.4184,0.0,49.1709,8885.6047,7459.0,2.3283,2.0,11777.6364,589.0,,
ProphetMulti,180M,MOPR,COIN,180,MOPR,100000.0,3356.0,71509.0,70461.0,1047.0,57804.0,0.0,1418.0,0.4225,0.0,48.6904,8811.2659,7283.0,2.2906,2.0,11620.6713,387.0,,
ProphetMulti,180M,SHLI,COIN,180,SHLI,100000.0,3356.0,71856.0,70819.0,1036.0,56709.0,0.0,2717.0,0.8096,0.0,25.0651,12260.8509,10257.0,1.9437,2.0,17277.664,17283.0,,
ProphetMulti,190M,FIFO,COIN,190,FIFO,100000.0,3356.0,70898.0,69842.0,1055.0,55562.0,0.0,2398.0,0.7145,0.0,28.1251,11253.6068,9025.0,1.9754,2.0,19582.305,19853.0,,
ProphetMulti,190M,LEPR,COIN,190,LEPR,100000.0,3356.0,71088.0,70066.0,1021.0,56390.0,0.0,1814.0,0.5405,0.0,37.6251,9995.9294,7631.0,1.9818,2.0,15149.0666,8460.0,,
ProphetMulti,190M,MOFO,COIN,190,MOFO,100000.0,3356.0,71508.0,70477.0,1030.0,56823.0,0.0,1435.0,0.4276,0.0,48.1129,9079.1268,7752.0,2.3568,2.0,12405.7451,935.0,,
ProphetMulti,190M,MOPR,COIN,190,MOPR,100000.0,3356.0,71722.0,70680.0,1041.0,57126.0,0.0,1497.0,0.4461,0.0,46.2144,9190.6754,7579.0,2.2699,2.0,12407.1579,963.0,,
ProphetMulti,190M,SHLI,COIN,190,SHLI,100000.0,3356.0,71951.0,70894.0,1056.0,55954.0,0.0,2727.0,0.8126,0.0,24.9971,12183.0726,10089.0,1.9369,2.0,18251.5922,18517.0,,
ProphetMulti,200M,FIFO,COIN,200,FIFO,100000.0,3356.0,71028.0,69992.0,1035.0,54883.0,0.0,2402.0,0.7157,0.0,28.1391,11201.1066,9056.0,1.9663,2.0,20448.5996,20754.0,,
ProphetMulti,200M,LEPR,COIN,200,LEPR,100000.0,3356.0,71138.0,70081.0,1056.0,55604.0,0.0,1865.0,0.5557,0.0,36.5769,10104.6826,7913.0,1.9534,2.0,16022.2925,9639.0,,
ProphetMulti,200M,MOFO,COIN,200,MOFO,100000.0,3356.0,71166.0,70136.0,1029.0,56951.0,0.0,1194.0,0.3558,0.0,57.7404,7003.2186,5754.0,2.4841,2.0,10018.9591,4.0,,
ProphetMulti,200M,MOPR,COIN,200,MOPR,100000.0,3356.0,71773.0,70710.0,1062.0,56307.0,0.0,1527.0,0.455,0.0,45.3065,9284.6667,7730.0,2.241,2.0,13182.1808,2468.0,,
ProphetMulti,200M,SHLI,COIN,200,SHLI,100000.0,3356.0,71874.0,70837.0,1036.0,55065.0,0.0,2739.0,0.8162,0.0,24.8624,12134.4388,9977.0,1.9164,2.0,18999.7505,19709.0,,
ProphetMulti,20M,FIFO,COIN,20,FIFO,100000.0,3356.0,60041.0,59119.0,921.0,59663.0,0.0,1185.0,0.3531,0.0,48.8895,6328.4414,4823.0,3.9907,3.0,2345.406,1613.0,,
ProphetMulti,20M,LEPR,COIN,20,LEPR,100000.0,3356.0,69427.0,68432.0,994.0,69517.0,0.0,643.0,0.1916,0.0,105.4261,5920.7092,4260.0,2.098,2.0,1902.8784,0.0,,
ProphetMulti,20M,MOFO,COIN,20,MOFO,100000.0,3356.0,49965.0,49285.0,680.0,50711.0,0.0,295.0,0.0879,0.0,166.0678,4056.6746,3654.0,2.5356,2.0,2263.7861,52.0,,
ProphetMulti,20M,MOPR,COIN,20,MOPR,100000.0,3356.0,46062.0,45439.0,623.0,46941.0,0.0,254.0,0.0757,0.0,177.8937,4115.0354,3510.0,2.378,2.0,1484.4637,0.0,,
ProphetMulti,20M,SHLI,COIN,20,SHLI,100000.0,3356.0,71892.0,70849.0,1042.0,70651.0,0.0,1924.0,0.5733,0.0,35.8238,5119.3488,4925.0,2.2604,2.0,2094.2841,0.0,,
ProphetMulti,30M,FIFO,COIN,30,FIFO,100000.0,3356.0,64099.0,63154.0,944.0,62696.0,0.0,1376.0,0.41,0.0,44.8968,6663.4906,5214.0,3.3634,3.0,3276.0064,2568.0,,
ProphetMulti,30M,LEPR,COIN,30,LEPR,100000.0,3356.0,70380.0,69375.0,1004.0,69566.0,0.0,754.0,0.2247,0.0,91.0093,6623.5252,4935.0,2.0995,2.0,2813.7253,0.0,,
ProphetMulti,30M,MOFO,COIN,30,MOFO,100000.0,3356.0,58318.0,57543.0,774.0,58020.0,0.0,424.0,0.1263,0.0,134.7146,4777.0165,4407.0,2.5047,2.0,2487.6487,11.0,,
ProphetMulti,30M,MOPR,COIN,30,MOPR,100000.0,3356.0,53659.0,52905.0,754.0,53513.0,0.0,330.0,0.0983,0.0,159.3182,4481.6212,4052.0,2.5333,2.0,1953.4885,0.0,,
