routingAlgorithm,bufferSize,dropPolicy,forwardingStrategy,bufferSize_numeric,dropPolicy_numeric,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,rtt_avg,rtt_med
ProphetMulti,100M,FIFO,GRTRMax,100,FIFO,100000.0,3356.0,61823.0,60896.0,926.0,53854.0,0.0,2355.0,0.7017,0.0,24.8582,10836.1096,8901.0,2.0985,2.0,11388.8442,10468.0,,
ProphetMulti,100M,LEPR,GRTRMax,100,LEPR,100000.0,3356.0,65763.0,64823.0,939.0,58654.0,0.0,1484.0,0.4422,0.0,42.6813,9233.2756,7429.0,2.0728,2.0,9456.7003,5499.0,,
ProphetMulti,100M,MOFO,GRTRMax,100,MOFO,100000.0,3356.0,66245.0,65322.0,922.0,59291.0,0.0,1198.0,0.357,0.0,53.5259,10699.581,8697.0,1.9032,2.0,6201.8379,0.0,,
ProphetMulti,100M,MOPR,GRTRMax,100,MOPR,100000.0,3356.0,67750.0,66804.0,945.0,60791.0,0.0,1335.0,0.3978,0.0,49.0404,10795.839,8464.0,1.8494,2.0,6816.8353,0.0,,
ProphetMulti,100M,SHLI,GRTRMax,100,SHLI,100000.0,3356.0,67324.0,66363.0,960.0,58823.0,0.0,2707.0,0.8066,0.0,23.5153,13733.4337,11244.0,1.6823,1.0,9425.5716,0.0,,
ProphetMulti,10M,FIFO,GRTRMax,10,FIFO,100000.0,3356.0,30680.0,30423.0,257.0,31801.0,0.0,1159.0,0.3454,0.0,25.2494,6826.9707,5013.0,2.8352,2.0,2259.6659,1539.0,,
ProphetMulti,10M,LEPR,GRTRMax,10,LEPR,100000.0,3356.0,54727.0,53977.0,749.0,55906.0,0.0,613.0,0.1827,0.0,87.0538,6776.0228,5127.0,2.0522,2.0,1191.956,0.0,,
ProphetMulti,10M,MOFO,GRTRMax,10,MOFO,100000.0,3356.0,44955.0,44344.0,611.0,46619.0,0.0,263.0,0.0784,0.0,167.6084,6088.6806,5129.0,1.9772,2.0,1216.8729,0.0,,
ProphetMulti,10M,MOPR,GRTRMax,10,MOPR,100000.0,3356.0,49657.0,48957.0,699.0,51263.0,0.0,269.0,0.0802,0.0,180.9963,6584.7509,4918.0,1.8067,2.0,744.0563,0.0,,
ProphetMulti,10M,SHLI,GRTRMax,10,SHLI,100000.0,3356.0,68222.0,67276.0,945.0,68360.0,0.0,1460.0,0.435,0.0,45.0795,5231.5315,4920.0,1.7144,2.0,1064.5467,0.0,,
ProphetMulti,110M,FIFO,GRTRMax,110,FIFO,100000.0,3356.0,61964.0,61023.0,940.0,53192.0,0.0,2388.0,0.7116,0.0,24.554,10817.343,9013.0,2.0515,2.0,12466.9797,11794.0,,
ProphetMulti,110M,LEPR,GRTRMax,110,LEPR,100000.0,3356.0,66343.0,65396.0,946.0,58378.0,0.0,1530.0,0.4559,0.0,41.7425,9384.9137,7313.0,2.0497,2.0,10193.325,6116.0,,
ProphetMulti,110M,MOFO,GRTRMax,110,MOFO,100000.0,3356.0,65946.0,65001.0,944.0,58061.0,0.0,1287.0,0.3835,0.0,49.5058,10811.5144,8879.0,1.8842,2.0,6769.4155,0.0,,
ProphetMulti,110M,MOPR,GRTRMax,110,MOPR,100000.0,3356.0,67667.0,66706.0,960.0,59796.0,0.0,1416.0,0.4219,0.0,46.1088,11070.2648,8710.0,1.8277,2.0,7376.662,0.0,,
ProphetMulti,110M,SHLI,GRTRMax,110,SHLI,100000.0,3356.0,66991.0,66040.0,950.0,57708.0,0.0,2676.0,0.7974,0.0,23.6786,13857.404,11258.0,1.6749,1.0,10252.7585,0.0,,
ProphetMulti,120M,FIFO,GRTRMax,120,FIFO,100000.0,3356.0,62565.0,61638.0,926.0,52909.0,0.0,2407.0,0.7172,0.0,24.6078,10965.6967,9085.0,1.9958,2.0,13545.0737,12810.0,,
ProphetMulti,120M,LEPR,GRTRMax,120,LEPR,100000.0,3356.0,66150.0,65206.0,943.0,57371.0,0.0,1581.0,0.4711,0.0,40.2435,9269.2157,7313.0,2.0348,2.0,11129.5916,6724.0,,
ProphetMulti,120M,MOFO,GRTRMax,120,MOFO,100000.0,3356.0,66543.0,65638.0,904.0,57797.0,0.0,1364.0,0.4064,0.0,47.1217,11025.467,8981.0,1.8724,2.0,7225.9939,0.0,,
ProphetMulti,120M,MOPR,GRTRMax,120,MOPR,100000.0,3356.0,66510.0,65556.0,953.0,57754.0,0.0,1487.0,0.4431,0.0,43.0861,11340.037,8822.0,1.7989,2.0,8003.2348,0.0,,
ProphetMulti,120M,SHLI,GRTRMax,120,SHLI,100000.0,3356.0,66690.0,65733.0,956.0,56597.0,0.0,2663.0,0.7935,0.0,23.6838,13895.5836,11062.0,1.6763,1.0,10938.8575,0.0,,
ProphetMulti,130M,FIFO,GRTRMax,130,FIFO,100000.0,3356.0,62736.0,61790.0,945.0,52283.0,0.0,2440.0,0.7271,0.0,24.3238,11138.8332,9246.0,1.9975,2.0,14484.2139,13698.0,,
ProphetMulti,130M,LEPR,GRTRMax,130,LEPR,100000.0,3356.0,66711.0,65764.0,946.0,57079.0,0.0,1639.0,0.4884,0.0,39.1245,9577.252,7585.0,1.9982,2.0,11842.0074,7536.0,,
