routingAlgorithm,bufferSize,dropPolicy,forwardingStrategy,bufferSize_numeric,dropPolicy_numeric,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,rtt_avg,rtt_med
ProphetMulti,100M,FIFO,GRTR,100,FIFO,100000.0,3356.0,62972.0,62017.0,954.0,55105.0,0.0,2087.0,0.6219,0.0,28.7159,9713.2099,8188.0,1.9856,2.0,11352.889,10452.0,,
ProphetMulti,100M,LEPR,GRTR,100,LEPR,100000.0,3356.0,67487.0,66502.0,984.0,60220.0,0.0,1543.0,0.4598,0.0,42.0992,10014.2994,7528.0,1.7978,1.0,7960.0876,0.0,,
ProphetMulti,100M,MOFO,GRTR,100,MOFO,100000.0,3356.0,66677.0,65730.0,946.0,59889.0,0.0,1503.0,0.4479,0.0,42.7325,13478.6806,9608.0,1.7159,1.0,5032.3199,0.0,,
ProphetMulti,100M,MOPR,GRTR,100,MOPR,100000.0,3356.0,68719.0,67742.0,976.0,61744.0,0.0,1322.0,0.3939,0.0,50.2421,11432.4924,8510.0,1.7791,1.0,6538.8939,0.0,,
ProphetMulti,100M,SHLI,GRTR,100,SHLI,100000.0,3356.0,67697.0,66726.0,970.0,59348.0,0.0,2543.0,0.7577,0.0,25.2391,13685.9681,10828.0,1.6441,1.0,9223.556,0.0,,
ProphetMulti,10M,FIFO,GRTR,10,FIFO,100000.0,3356.0,30325.0,30068.0,257.0,31497.0,0.0,1109.0,0.3305,0.0,26.1127,6437.4617,4654.0,2.7376,2.0,2300.3865,1595.0,,
ProphetMulti,10M,LEPR,GRTR,10,LEPR,100000.0,3356.0,56958.0,56200.0,757.0,58114.0,0.0,629.0,0.1874,0.0,88.3482,6887.31,5039.0,1.9984,2.0,1151.7409,0.0,,
ProphetMulti,10M,MOFO,GRTR,10,MOFO,100000.0,3356.0,46351.0,45771.0,580.0,48010.0,0.0,300.0,0.0894,0.0,151.57,6686.09,5192.0,1.8967,2.0,1163.8203,0.0,,
ProphetMulti,10M,MOPR,GRTR,10,MOPR,100000.0,3356.0,52334.0,51636.0,697.0,53943.0,0.0,267.0,0.0796,0.0,192.3933,6542.2584,4922.0,1.764,2.0,709.3778,0.0,,
ProphetMulti,10M,SHLI,GRTR,10,SHLI,100000.0,3356.0,68682.0,67697.0,984.0,68783.0,0.0,1459.0,0.4347,0.0,45.3996,5251.3893,4918.0,1.7108,2.0,1055.8424,0.0,,
ProphetMulti,110M,FIFO,GRTR,110,FIFO,100000.0,3356.0,63477.0,62522.0,954.0,54786.0,0.0,2090.0,0.6228,0.0,28.9148,9995.2153,8227.0,1.9531,2.0,12349.5953,11599.0,,
ProphetMulti,110M,LEPR,GRTR,110,LEPR,100000.0,3356.0,68185.0,67223.0,961.0,60084.0,0.0,1607.0,0.4788,0.0,40.8314,10130.168,7717.0,1.8108,1.0,8377.6789,0.0,,
ProphetMulti,110M,MOFO,GRTR,110,MOFO,100000.0,3356.0,67216.0,66270.0,945.0,59662.0,0.0,1594.0,0.475,0.0,40.5747,13551.1782,9896.0,1.7208,1.0,5219.2631,0.0,,
ProphetMulti,110M,MOPR,GRTR,110,MOPR,100000.0,3356.0,69004.0,68037.0,966.0,61110.0,0.0,1426.0,0.4249,0.0,46.7118,11758.3464,8800.0,1.7749,1.0,6955.5795,0.0,,
ProphetMulti,110M,SHLI,GRTR,110,SHLI,100000.0,3356.0,67941.0,66994.0,946.0,58797.0,0.0,2541.0,0.7572,0.0,25.3652,13960.6568,10873.0,1.634,1.0,9760.8835,0.0,,
ProphetMulti,120M,FIFO,GRTR,120,FIFO,100000.0,3356.0,63917.0,62934.0,982.0,54354.0,0.0,2109.0,0.6284,0.0,28.8407,10055.1641,8209.0,1.9294,2.0,13349.972,12675.0,,
ProphetMulti,120M,LEPR,GRTR,120,LEPR,100000.0,3356.0,67177.0,66235.0,941.0,58253.0,0.0,1638.0,0.4881,0.0,39.4365,10271.3077,7673.0,1.779,1.0,9212.1284,0.0,,
ProphetMulti,120M,MOFO,GRTR,120,MOFO,100000.0,3356.0,68089.0,67101.0,987.0,59901.0,0.0,1711.0,0.5098,0.0,38.2174,13846.2314,9996.0,1.6967,1.0,5702.7657,0.0,,
ProphetMulti,120M,MOPR,GRTR,120,MOPR,100000.0,3356.0,68831.0,67840.0,990.0,60050.0,0.0,1475.0,0.4395,0.0,44.9932,11801.5315,8823.0,1.7932,1.0,7464.2037,0.0,,
ProphetMulti,120M,SHLI,GRTR,120,SHLI,100000.0,3356.0,67655.0,66698.0,956.0,57647.0,0.0,2578.0,0.7682,0.0,24.872,13992.896,10849.0,1.6362,1.0,10540.9592,0.0,,
ProphetMulti,130M,FIFO,GRTR,130,FIFO,100000.0,3356.0,64170.0,63233.0,936.0,53797.0,0.0,2145.0,0.6392,0.0,28.4793,10254.8186,8429.0,1.8802,2.0,14386.7409,13731.0,,
ProphetMulti,130M,LEPR,GRTR,130,LEPR,100000.0,3356.0,66859.0,65891.0,967.0,57043.0,0.0,1700.0,0.5066,0.0,37.7594,10646.7194,7963.0,1.7794,1.0,9831.4791,0.0,,
ProphetMulti,130M,MOFO,GRTR,130,MOFO,100000.0,3356.0,67876.0,66909.0,966.0,58838.0,0.0,1810.0,0.5393,0.0,35.9663,13924.0359,10004.0,1.6956,1.0,6266.7596,0.0,,
ProphetMulti,130M,MOPR,GRTR,130,MOPR,100000.0,3356.0,68249.0,67251.0,997.0,58547.0,0.0,1561.0,0.4651,0.0,42.082,12002.3274,8926.0,1.7495,1.0,7886.2267,0.0,,
ProphetMulti,130M,SHLI,GRTR,130,SHLI,100000.0,3356.0,67970.0,67010.0,959.0,57166.0,0.0,2550.0,0.7598,0.0,25.2784,13893.9678,10661.0,1.6388,1.0,11165.1184,0.0,,
ProphetMulti,140M,FIFO,GRTR,140,FIFO,100000.0,3356.0,64407.0,63456.0,950.0,53176.0,0.0,2172.0,0.6472,0.0,28.2155,10189.2965,8517.0,1.8854,2.0,15419.408,15050.0,,
ProphetMulti,140M,LEPR,GRTR,140,LEPR,100000.0,3356.0,66850.0,65895.0,954.0,56197.0,0.0,1751.0,0.5218,0.0,36.6328,10439.5837,7987.0,1.7561,1.0,10391.8362,0.0,,
ProphetMulti,140M,MOFO,GRTR,140,MOFO,100000.0,3356.0,69036.0,68041.0,994.0,59456.0,0.0,1848.0,0.5507,0.0,35.8187,13910.2538,10163.0,1.658,1.0,6551.2975,0.0,,
ProphetMulti,140M,MOPR,GRTR,140,MOPR,100000.0,3356.0,68270.0,67291.0,978.0,57682.0,0.0,1653.0,0.4926,0.0,39.7084,12321.9661,9061.0,1.7411,1.0,8466.5064,0.0,,
ProphetMulti,140M,SHLI,GRTR,140,SHLI,100000.0,3356.0,67448.0,66476.0,971.0,55797.0,0.0,2563.0,0.7637,0.0,24.9368,13938.453,10674.0,1.6254,1.0,11952.1481,0.0,,
ProphetMulti,150M,FIFO,GRTR,150,FIFO,100000.0,3356.0,64574.0,63583.0,990.0,52451.0,0.0,2214.0,0.6597,0.0,27.7186,10460.1007,8661.0,1.8329,2.0,16474.6681,16023.0,,
ProphetMulti,150M,LEPR,GRTR,150,LEPR,100000.0,3356.0,67277.0,66301.0,975.0,55770.0,0.0,1786.0,0.5322,0.0,36.1226,10701.949,8328.0,1.7934,1.0,10845.2731,0.0,,
ProphetMulti,150M,MOFO,GRTR,150,MOFO,100000.0,3356.0,68916.0,67926.0,989.0,58435.0,0.0,1938.0,0.5775,0.0,34.0495,13925.7239,9996.0,1.6698,1.0,6781.827,0.0,,
ProphetMulti,150M,MOPR,GRTR,150,MOPR,100000.0,3356.0,68198.0,67217.0,980.0,56742.0,0.0,1699.0,0.5063,0.0,38.5627,12460.0942,9190.0,1.7369,1.0,8600.5204,0.0,,
ProphetMulti,150M,SHLI,GRTR,150,SHLI,100000.0,3356.0,67336.0,66379.0,956.0,54882.0,0.0,2562.0,0.7634,0.0,24.9091,14165.6542,10754.0,1.6393,1.0,12444.7648,0.0,,
ProphetMulti,160M,FIFO,GRTR,160,FIFO,100000.0,3356.0,64879.0,63888.0,990.0,51883.0,0.0,2266.0,0.6752,0.0,27.1942,10677.1222,8824.0,1.8292,2.0,17382.1463,17115.0,,
ProphetMulti,160M,LEPR,GRTR,160,LEPR,100000.0,3356.0,67627.0,66659.0,967.0,55297.0,0.0,1812.0,0.5399,0.0,35.7875,10805.207,8205.0,1.7748,1.0,11071.8502,0.0,,
ProphetMulti,160M,MOFO,GRTR,160,MOFO,100000.0,3356.0,68897.0,67913.0,983.0,57549.0,0.0,1988.0,0.5924,0.0,33.1615,13939.7817,10246.0,1.6776,1.0,6986.032,0.0,,
ProphetMulti,160M,MOPR,GRTR,160,MOPR,100000.0,3356.0,68426.0,67448.0,977.0,56074.0,0.0,1776.0,0.5292,0.0,36.9775,12373.2956,9306.0,1.7461,1.0,8996.0931,0.0,,
ProphetMulti,160M,SHLI,GRTR,160,SHLI,100000.0,3356.0,67304.0,66343.0,960.0,54010.0,0.0,2579.0,0.7685,0.0,24.7243,13867.7988,10699.0,1.6495,1.0,13282.6527,0.0,,
ProphetMulti,170M,FIFO,GRTR,170,FIFO,100000.0,3356.0,64997.0,64033.0,963.0,51188.0,0.0,2289.0,0.6821,0.0,26.9742,10742.6675,8926.0,1.8213,2.0,18478.0668,18410.0,,
ProphetMulti,170M,LEPR,GRTR,170,LEPR,100000.0,3356.0,66832.0,65867.0,964.0,53684.0,0.0,1863.0,0.5551,0.0,34.3553,10920.0751,8530.0,1.7842,1.0,11874.8908,0.0,,
ProphetMulti,170M,MOFO,GRTR,170,MOFO,100000.0,3356.0,68538.0,67560.0,977.0,56319.0,0.0,2039.0,0.6076,0.0,32.1339,13940.976,10136.0,1.6601,1.0,7179.9553,0.0,,
